seg,bias of median tn ***
PU3_3860_3610,2.347826087
OD2_8670_8890,1.708529412
PM1_4430_4200,1.598333333
JL2_7240_7350,1.426086957
JU2_6410_6640,1.391904762
PL0_5010_5130,1.215
OR2_7650_8070,1.210617284
JL1_7080_7190,1.172916667
OR2_7670_7840,1.093846154
JL1_6560_6440,0.958695652
OD3_8850_8931,0.945714286
JU4_7260_0003,0.859347826
JU3_6640_6790,0.7472
OD1_8910_8930,0.704883721
PM1_3510_4000,0.671515152
OR2_8460_8271,0.63047619
JU1_6300_6650,0.607083333
NR2_8210_8180,0.604347826
NR3_8420_8430,0.587719298
RU2_5940_6200,0.428
JB3_6820_7053,0.400149254
TU3_8650_8800,0.295061728
JL4_6520_6710,0.230508475
JU3_6380_6900,0.184347826
BS4_8440_0003,0.169545455
EL1_5430_0001,0.163076923
XL0_5320_0001,0.146491228
NR5_8870_0003,0.130769231
WM1_3660_3910,0.1065
SL2_1990_2070,0.1
PL1_4460_4780,0.049830125
XU3_4650_0001,0.011153846
PL0_4510_0001,0.001838235
BS3_8350_8330,-0.001702128
OR1_8320_8271,-0.005504587
NR6_8500_0003,-0.017534247
JL7_6800_7070,-0.021960784
XU2_4330_4480,-0.027745665
MN3_7930_8010,-0.037623762
TU4_8680_8810,-0.045052632
SU5_0610_0600,-0.048645833
PS2_5560_5100,-0.060784314
JL2_6441_6520,-0.06609375
PS4_5840_5240,-0.080368098
PS2_6730_6660,-0.090722892
MN3_7540_7680,-0.100561798
JL6_7430_7320,-0.12173913
NR2_8600_8700,-0.124909091
PM7_4820_0001,-0.153529412
XL1_4690_0001,-0.166824645
SL9_2720_0001,-0.168023256
TU2_8790_9070,-0.172755418
JL6_6890_6990,-0.17515625
TU2_8950_9040,-0.176935484
MN5_8161_0003,-0.177857143
SJ4_2660_2360,-0.182105263
PU6_3610_3530,-0.202613065
PS2_5550_5560,-0.208450704
PM2_2860_3040,-0.2116
JL7_7100_7030,-0.225820896
JU2_6600_6810,-0.235517241
PL0_5540_5490,-0.243513514
PU6_3752_4080,-0.24690027
PM4_4040_0003,-0.248108108
PS5_4380_4370,-0.256666667
PU2_3090_4050,-0.262086957
RU5_6030_0001,-0.263608247
PM7_4200_0003,-0.2735
SW7_1640_0003,-0.285636364
RL1_6180_0001,-0.29
SL3_2460_2430,-0.297101449
PU6_4020_3870,-0.301886792
PS3_6460_6230,-0.307746479
PU0_3000_3090,-0.30945122
NR6_8051_8000,-0.319425837
WM3_3880_4060,-0.31952862
SU8_1610_1530,-0.332857143
PS2_6490_6420,-0.341672474
XU2_4270_0003,-0.3448
SU7_0850_0730,-0.349180328
EM2_3980_0001,-0.358823529
SL9_2490_2520,-0.360869565
PU3_3680_3890,-0.362727273
SL1_2390_2420,-0.376091954
PU3_3290_3390,-0.392888889
PS3_6161_6280,-0.393123209
SL3_2730_2550,-0.394130435
PU4_4440_0003,-0.404666667
JU4_7330_0003,-0.417647059
YP4_6720_6750,-0.41880597
YM4_6620_0003,-0.420714286
SL9_2270_0003,-0.44
PS4_6360_5840,-0.443229167
SL3_2420_2700,-0.446623377
MN4_8260_8400,-0.449622642
PU1_3940_3970,-0.45316129
SL3_2290_2260,-0.4555
PM1_3120_3400,-0.462902001
SL4_2140_2240,-0.47225
SL4_2370_2330,-0.482777778
PS5_5240_5200,-0.499933333
WU2_3020_3320,-0.518888889
SL2_1850_1990,-0.5198125
SJ6_2130_0003,-0.541666667
EL0_4562_0003,-0.579090909
PS3_5100_5080,-0.5802
XU0_4130_4070,-0.710439165
YP3_6330_6700,-0.728541667
JU3_6900_6950,-0.731258065
JA5_7480_0001,-0.817321429
